timeout_subtype,n,mean,std,sigma2_h0,sigma2_h1,glrt_stat,glrt_p,t_stat,t_p,ci_low,ci_high,crit,reject_h0,signif,metric,slice,streak_bucket,margin_bucket,time_bucket
full,27399,-0.004580079836603721,2.9537802827934594,8.724520500515876,8.724499523384566,0.06587790259470211,0.7974359180923036,-0.2566623801791363,0.7974413422995597,-0.039556721547028495,0.03039656187382105,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down3-5,,
full,15219,-0.002904524184147347,2.970366781661668,8.822507512824442,8.822499076563705,0.014552723626969528,0.9039804066124626,-0.12063073556756,0.9039851156888168,-0.05009992240550806,0.044290874037213365,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down6-9,,
full,250,-0.3291722495735734,3.111474539318453,9.750903083480997,9.64254871359167,2.7936104031800957,0.09464078021532418,-1.6727343226178077,0.09563552640072115,-0.7167513603582769,0.0584068612111302,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up10+,,
full,5476,0.0030151703723970986,2.939045712580451,8.636421364990593,8.636412273738218,0.005764392692532803,0.9394798827670949,0.0759166849982357,0.9394881562092365,-0.0748456064658378,0.08087594721063199,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up3-5,,
full,1470,0.04987540541547593,2.9116931315901433,8.474677131000593,8.472189574935236,0.4315496788628276,0.5112295225608293,0.6567491271683835,0.5114451082939477,-0.09909259891907006,0.1988434097500219,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up6-9,,
official_inferred,6736,0.014662181260876461,2.95116817657793,8.708315623771893,8.708100644212566,0.1662916514416123,0.683428785520436,0.4077609799528765,0.6834621241101402,-0.055826448099277594,0.08515081062103051,3.8414588206941205,false,ns,excess_net_post,streak_bucket,calm,,
official_inferred,130,-0.1662685542755726,2.83444872901334,7.999944063412341,7.972298831271452,0.45001616752681584,0.5023272767604572,-0.668826066992436,0.5048015636239054,-0.6581249920432547,0.32558788349210954,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down10+,,
official_inferred,4334,-0.08207170991167383,2.913682726695824,8.494323972532994,8.48758820696517,3.4381062854784523,0.06370867613837083,-1.8543669396854814,0.0637545796203447,-0.16884123640533089,0.004697816581983219,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down3-5,,
official_inferred,1146,0.054663757187127245,3.096518081397923,9.58304549244562,9.580057366095808,0.35739440005289075,0.5499568921061362,0.5976104280263712,0.5502180727259915,-0.12480494573804904,0.23413246011230351,3.8414588206941205,false,ns,excess_net_post,streak_bucket,down6-9,,
official_inferred,39,-0.4185032473261849,3.0927817403868394,9.495179787496136,9.320034819473575,0.7260986602275833,0.39415069495328925,-0.8450489433982354,0.4033729305159013,-1.4210671083711892,0.5840606137188193,3.8414588206941205,false,ns,excess_net_post,streak_bucket,up10+,,
